ts,open,high,low,close
1788321180,4346.10009765625,4346.2001953125,4345.10009765625,4345.2001953125
1788321240,4345.60009765625,4347.7998046875,4345.60009765625,4347.7998046875
1788321300,4347.89990234375,4348.39990234375,4347.10009765625,4347.5
1788321360,4347.39990234375,4350.7001953125,4347.39990234375,4349.5
1788321420,4349.2998046875,4349.2998046875,4348.5,4348.7998046875
1788321480,4348.7998046875,4349.10009765625,4348.5,4348.7998046875
1788321600,4349.89990234375,4350.7001953125,4349.60009765625,4350.7001953125
1788321660,4350.2998046875,4350.2998046875,4349.10009765625,4349.39990234375
1788321720,4349.39990234375,4349.7998046875,4349.2001953125,4349.39990234375
1788321780,4349.5,4352.39990234375,4349.5,4351.39990234375
1788321840,4351.60009765625,4351.60009765625,4348.7998046875,4350.5
1788321900,4350.7001953125,4351.7998046875,4350.7001953125,4351.7001953125
1788321960,4351.2001953125,4352.0,4350.60009765625,4350.60009765625
1788322020,4350.7998046875,4351.2001953125,4350.2998046875,4350.39990234375
1788322080,4350.39990234375,4352.89990234375,4350.2998046875,4352.7001953125
1788322140,4352.7998046875,4353.39990234375,4351.0,4351.39990234375
1788322200,4351.60009765625,4352.7001953125,4351.60009765625,4352.39990234375
1788322260,4352.2998046875,4353.0,4352.10009765625,4352.60009765625
1788322320,4353.0,4353.5,4351.39990234375,4351.7001953125
1788322380,4351.5,4351.5,4350.5,4350.60009765625
1788322440,4350.7001953125,4351.0,4350.2998046875,4350.89990234375
1788322500,4351.10009765625,4351.89990234375,4350.5,4351.2001953125
1788322560,4351.2998046875,4352.2998046875,4350.7001953125,4351.0
1788322620,4350.89990234375,4350.89990234375,4350.10009765625,4350.10009765625
1788322680,4350.0,4351.10009765625,4349.7001953125,4350.89990234375
1788322740,4350.2998046875,4350.39990234375,4349.2998046875,4349.7998046875
1788322800,4349.10009765625,4349.7998046875,4347.7998046875,4349.7998046875
1788322860,4349.39990234375,4349.7998046875,4348.60009765625,4349.5
1788322920,4349.7001953125,4351.39990234375,4349.39990234375,4350.10009765625
1788322980,4349.60009765625,4350.10009765625,4349.0,4349.10009765625
1788323040,4349.5,4351.2001953125,4349.5,4350.7998046875
